Time,Pressure
325.03,53.26580174
325.04,55.81765356
325.05,54.05401886
325.06,54.92105739
325.07,53.92593363
325.08,55.48266213
325.09,54.0146078
325.1,55.52207325
325.11,54.93090984
325.12,55.14766999
325.13,54.61562297
325.14,53.25594922
325.15,54.30033634
325.16,54.36930554
325.17,51.81745269
325.18,49.7385302
325.19,50.0144057
325.2,48.24091806
325.21,46.70389474
325.22,44.63482544
325.23,44.22101114
325.24,43.21603496
325.25,41.54107406
325.26,41.40313606
325.27,40.17154728
325.28,40.12228331
325.29,39.45229918
325.3,37.99409813
325.31,38.27982676
325.32,37.73792778
325.33,37.68866388
325.34,37.99409806
325.35,38.26012144
325.36,37.90542387
325.37,38.09262531
325.38,38.35864857
325.39,39.33406657
325.4,40.1616945
325.41,39.41288859
325.42,39.82670239
325.43,39.86611321
325.44,40.6346244
325.45,40.31933792
325.46,41.10755467
325.47,38.78231512
325.48,40.74300418
325.49,40.27992709
325.5,40.50653931
325.51,39.15671798
325.52,40.54594994
325.53,39.22568711
325.54,39.22568702
325.55,38.25026854
325.56,38.26997388
325.57,36.54574993
325.58,35.93488179
325.59,33.87566554
325.6,33.88551809
325.61,31.93468172
325.62,26.85068393
325.63,18.97837028
325.64,11.71692506
325.65,7.499966573
325.66,6.278230955
325.67,6.898951467
325.68,6.445726966
325.69,5.421045488
325.7,6.041765998
325.71,7.450703034
325.72,6.642781097
325.73,6.248672836
325.74,5.72647939
325.75,5.578688792
325.76,5.95309164
325.77,5.92353352
325.78,6.051618705
325.79,6.238820129
325.8,5.962944346
325.81,5.401340075
325.82,5.687068564
325.83,5.460456314
325.84,5.844711868
325.85,5.519572553
325.86,5.204285945
325.87,5.72647939
325.88,6.268378249
325.89,6.159998477
325.9,5.598394205
325.91,5.805301043
325.92,5.312665717
325.93,6.37675802
325.94,5.992502466
325.95,5.558983379
325.96,6.002355172
325.97,5.174727826
325.98,6.041765998
325.99,5.322518423
326,5.647657738
326.01,5.568836086
326.02,5.962944346
326.03,5.854564574
326.04,5.549130673
326.05,5.92353352
326.06,5.746184803
326.07,5.273254891
326.08,6.120587651
326.09,5.736332097
326.1,5.834859163
326.11,5.568836086
326.12,5.627952325
326.13,5.539277966
326.14,4.888999337
326.15,5.312665716
326.16,5.746184803
326.17,6.022060585
326.18,5.421045488
326.19,5.155022413
326.2,5.588541499
326.21,6.228967422
326.22,6.061471412
326.23,5.125464293
326.24,5.578688792
326.25,4.731356033
326.26,6.012207879
326.27,5.026937228
326.28,5.460456315
326.29,5.036789934
326.3,5.627952325
326.31,5.10575888
326.32,6.130440357
326.33,5.430898194
326.34,5.647657738
326.35,5.864417281
326.36,5.026937228
326.37,5.736332096
326.38,5.844711868
326.39,5.844711868
326.4,5.342223836
326.41,5.49986714
326.42,5.115611587
326.43,6.189556596
326.44,5.145169706
326.45,5.539277967
326.46,5.588541499
326.47,6.130440357
326.48,5.292960303
326.49,5.421045488
326.5,5.598394205
326.51,5.519572553
326.52,5.33237113
326.53,5.95309164
326.54,5.273254891
326.55,6.120587651
326.56,5.637805032
326.57,5.972797054
326.58,4.997379108
326.59,5.95309164
326.6,5.411192781
326.61,4.987526402
326.62,5.381634662
326.63,5.923533521
